timestamp,demand_kwh,pv_kwh,soc_kwh,grid_import_kwh,grid_export_kwh,charge_kwh,discharge_kwh
2024-01-01 00:00:00,47.87721098553098,0.09644750328453737,549.634653018101,0.0,0.0,0.0,47.78076348224644
2024-01-01 01:00:00,47.87721098553098,0.3269155817901297,499.51224072154866,0.0,0.0,0.0,47.55029540374085
2024-01-01 02:00:00,47.87721098553098,1.0050060625922688,450.10459855133416,0.0,0.0,0.0,46.872204922938714
2024-01-01 03:00:00,47.87721098553098,2.8021422079333953,402.5913042093508,0.0,0.0,0.0,45.075068777597586
2024-01-01 04:00:00,47.87721098553098,7.08598276318199,359.5935742965628,0.0,0.0,0.0,40.79122822234899
2024-01-01 05:00:00,47.87721098553098,16.25168667742099,326.2573446263467,0.0,0.0,0.0,31.625524308109988
2024-01-01 06:00:00,179.53954119574118,33.8053330951628,172.64000109341714,0.0,0.0,0.0,145.73420810057837
2024-01-01 07:00:00,598.4651373191373,63.77646268970744,60.0,427.8289868997134,0.0,0.0,106.85968772971646
2024-01-01 08:00:00,598.4651373191373,109.12495195916932,60.0,489.34018535996796,0.0,0.0,0.0
2024-01-01 09:00:00,598.4651373191373,169.34646395119947,60.0,429.11867336793784,0.0,0.0,0.0
2024-01-01 10:00:00,478.77210985530985,238.35080854943297,60.0,240.42130130587688,0.0,0.0,0.0
2024-01-01 11:00:00,478.77210985530985,304.2604867823061,60.0,174.51162307300376,0.0,0.0,0.0
2024-01-01 12:00:00,478.77210985530985,352.25965993498704,60.0,126.51244992032281,0.0,0.0,0.0
2024-01-01 13:00:00,478.77210985530985,369.88668387096766,60.0,108.88542598434219,0.0,0.0,0.0
2024-01-01 14:00:00,478.77210985530985,352.25965993498704,60.0,126.51244992032281,0.0,0.0,0.0
2024-01-01 15:00:00,478.77210985530985,304.2604867823061,60.0,174.51162307300376,0.0,0.0,0.0
2024-01-01 16:00:00,478.77210985530985,238.35080854943297,60.0,240.42130130587688,0.0,0.0,0.0
2024-01-01 17:00:00,478.77210985530985,169.34646395119947,60.0,309.4256459041104,0.0,0.0,0.0
2024-01-01 18:00:00,359.07908239148236,109.12495195916932,60.0,249.95413043231304,0.0,0.0,0.0
2024-01-01 19:00:00,359.07908239148236,63.77646268970744,60.0,295.3026197017749,0.0,0.0,0.0
2024-01-01 20:00:00,149.61628432978432,33.8053330951628,60.0,115.81095123462151,0.0,0.0,0.0
2024-01-01 21:00:00,149.61628432978432,16.25168667742099,60.0,133.36459765236333,0.0,0.0,0.0
2024-01-01 22:00:00,149.61628432978432,7.08598276318199,60.0,142.53030156660233,0.0,0.0,0.0
2024-01-01 23:00:00,47.87721098553098,2.8021422079333953,60.0,45.075068777597586,0.0,0.0,0.0
2024-01-02 00:00:00,47.87721098553098,0.09644750328453737,60.0,47.78076348224644,0.0,0.0,0.0
2024-01-02 01:00:00,47.87721098553098,0.3269155817901297,60.0,47.55029540374085,0.0,0.0,0.0
2024-01-02 02:00:00,47.87721098553098,1.0050060625922688,60.0,46.872204922938714,0.0,0.0,0.0
2024-01-02 03:00:00,47.87721098553098,2.8021422079333953,60.0,45.075068777597586,0.0,0.0,0.0
2024-01-02 04:00:00,47.87721098553098,7.08598276318199,60.0,40.79122822234899,0.0,0.0,0.0
2024-01-02 05:00:00,47.87721098553098,16.25168667742099,60.0,31.625524308109988,0.0,0.0,0.0
2024-01-02 06:00:00,179.53954119574118,33.8053330951628,60.0,145.73420810057837,0.0,0.0,0.0
2024-01-02 07:00:00,598.4651373191373,63.77646268970744,60.0,534.6886746294299,0.0,0.0,0.0
2024-01-02 08:00:00,598.4651373191373,109.12495195916932,60.0,489.34018535996796,0.0,0.0,0.0
2024-01-02 09:00:00,598.4651373191373,169.34646395119947,60.0,429.11867336793784,0.0,0.0,0.0
2024-01-02 10:00:00,478.77210985530985,238.35080854943297,60.0,240.42130130587688,0.0,0.0,0.0
2024-01-02 11:00:00,478.77210985530985,304.2604867823061,60.0,174.51162307300376,0.0,0.0,0.0
2024-01-02 12:00:00,478.77210985530985,352.25965993498704,60.0,126.51244992032281,0.0,0.0,0.0
2024-01-02 13:00:00,478.77210985530985,369.88668387096766,60.0,108.88542598434219,0.0,0.0,0.0
2024-01-02 14:00:00,478.77210985530985,352.25965993498704,60.0,126.51244992032281,0.0,0.0,0.0
2024-01-02 15:00:00,478.77210985530985,304.2604867823061,60.0,174.51162307300376,0.0,0.0,0.0
2024-01-02 16:00:00,478.77210985530985,238.35080854943297,60.0,240.42130130587688,0.0,0.0,0.0
2024-01-02 17:00:00,478.77210985530985,169.34646395119947,60.0,309.4256459041104,0.0,0.0,0.0
2024-01-02 18:00:00,359.07908239148236,109.12495195916932,60.0,249.95413043231304,0.0,0.0,0.0
2024-01-02 19:00:00,359.07908239148236,63.77646268970744,60.0,295.3026197017749,0.0,0.0,0.0
2024-01-02 20:00:00,149.61628432978432,33.8053330951628,60.0,115.81095123462151,0.0,0.0,0.0
2024-01-02 21:00:00,149.61628432978432,16.25168667742099,60.0,133.36459765236333,0.0,0.0,0.0
2024-01-02 22:00:00,149.61628432978432,7.08598276318199,60.0,142.53030156660233,0.0,0.0,0.0
2024-01-02 23:00:00,47.87721098553098,2.8021422079333953,60.0,45.075068777597586,0.0,0.0,0.0
2024-01-03 00:00:00,47.87721098553098,0.09644750328453737,60.0,47.78076348224644,0.0,0.0,0.0
2024-01-03 01:00:00,47.87721098553098,0.3269155817901297,60.0,47.55029540374085,0.0,0.0,0.0
2024-01-03 02:00:00,47.87721098553098,1.0050060625922688,60.0,46.872204922938714,0.0,0.0,0.0
2024-01-03 03:00:00,47.87721098553098,2.8021422079333953,60.0,45.075068777597586,0.0,0.0,0.0
2024-01-03 04:00:00,47.87721098553098,7.08598276318199,60.0,40.79122822234899,0.0,0.0,0.0
2024-01-03 05:00:00,47.87721098553098,16.25168667742099,60.0,31.625524308109988,0.0,0.0,0.0
2024-01-03 06:00:00,179.53954119574118,33.8053330951628,60.0,145.73420810057837,0.0,0.0,0.0
2024-01-03 07:00:00,598.4651373191373,63.77646268970744,60.0,534.6886746294299,0.0,0.0,0.0
2024-01-03 08:00:00,598.4651373191373,109.12495195916932,60.0,489.34018535996796,0.0,0.0,0.0
2024-01-03 09:00:00,598.4651373191373,169.34646395119947,60.0,429.11867336793784,0.0,0.0,0.0
2024-01-03 10:00:00,478.77210985530985,238.35080854943297,60.0,240.42130130587688,0.0,0.0,0.0
2024-01-03 11:00:00,478.77210985530985,304.2604867823061,60.0,174.51162307300376,0.0,0.0,0.0
2024-01-03 12:00:00,478.77210985530985,352.25965993498704,60.0,126.51244992032281,0.0,0.0,0.0
2024-01-03 13:00:00,478.77210985530985,369.88668387096766,60.0,108.88542598434219,0.0,0.0,0.0
2024-01-03 14:00:00,478.77210985530985,352.25965993498704,60.0,126.51244992032281,0.0,0.0,0.0
2024-01-03 15:00:00,478.77210985530985,304.2604867823061,60.0,174.51162307300376,0.0,0.0,0.0
2024-01-03 16:00:00,478.77210985530985,238.35080854943297,60.0,240.42130130587688,0.0,0.0,0.0
2024-01-03 17:00:00,478.77210985530985,169.34646395119947,60.0,309.4256459041104,0.0,0.0,0.0
2024-01-03 18:00:00,359.07908239148236,109.12495195916932,60.0,249.95413043231304,0.0,0.0,0.0
2024-01-03 19:00:00,359.07908239148236,63.77646268970744,60.0,295.3026197017749,0.0,0.0,0.0
2024-01-03 20:00:00,149.61628432978432,33.8053330951628,60.0,115.81095123462151,0.0,0.0,0.0
2024-01-03 21:00:00,149.61628432978432,16.25168667742099,60.0,133.36459765236333,0.0,0.0,0.0
2024-01-03 22:00:00,149.61628432978432,7.08598276318199,60.0,142.53030156660233,0.0,0.0,0.0
2024-01-03 23:00:00,47.87721098553098,2.8021422079333953,60.0,45.075068777597586,0.0,0.0,0.0
2024-01-04 00:00:00,47.87721098553098,0.09644750328453737,60.0,47.78076348224644,0.0,0.0,0.0
2024-01-04 01:00:00,47.87721098553098,0.3269155817901297,60.0,47.55029540374085,0.0,0.0,0.0
2024-01-04 02:00:00,47.87721098553098,1.0050060625922688,60.0,46.872204922938714,0.0,0.0,0.0
2024-01-04 03:00:00,47.87721098553098,2.8021422079333953,60.0,45.075068777597586,0.0,0.0,0.0
2024-01-04 04:00:00,47.87721098553098,7.08598276318199,60.0,40.79122822234899,0.0,0.0,0.0
2024-01-04 05:00:00,47.87721098553098,16.25168667742099,60.0,31.625524308109988,0.0,0.0,0.0
