p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,pl_mw,ql_mvar,i_from_ka,i_to_ka,i_ka,vm_from_pu,va_from_degree,vm_to_pu,va_to_degree,loading_percent
2383.623682238347,419.37475864642425,-2382.9041663100356,-511.4092094951856,0.7195159283114663,-92.03445084876137,3.3671580279436872,3.392963842251825,3.392963842251825,1.0374648801978419,8.280280217922412,1.0367762122433584,8.174038826201949,21.15314116117098
2383.623682238347,419.37475864642425,-2382.9041663100356,-511.4092094951856,0.7195159283114663,-92.03445084876137,3.3671580279436872,3.392963842251825,3.392963842251825,1.0374648801978419,8.280280217922412,1.0367762122433584,8.174038826201949,21.15314116117098
-743.0153321705592,136.6785651192119,743.4065068662508,-419.21875067350334,0.3911746956915749,-282.54018555429144,1.051066048907533,1.189289882655686,1.189289882655686,1.0374648801978419,8.280280217922412,1.0358000047627418,8.606698747760474,12.98351400279133
-1102.2229545664575,348.3920592013467,1102.8655674093773,-498.5810228747692,0.6426128429197888,-150.1889636734225,1.6082497314108635,1.6865794116216586,1.6865794116216586,1.0374648801978419,8.280280217922412,1.0358000047627418,8.606698747760474,18.41243899150282
-10031.64986168494,33.404107899978044,10055.638248531655,111.09061801481062,23.988386846715002,144.49472591478866,13.998993581408074,13.998440497532076,13.998993581408074,1.0343257577818488,6.812569299952194,1.0368975969669143,8.220658071671394,109.70998104551784
-1733.8613963114506,91.55707051003876,1734.965960544243,-206.78220507511378,1.104564232792427,-115.22513456507502,2.4229311269904317,2.4378554176814697,2.4378554176814697,1.0343257577818488,6.812569299952194,1.034487602527995,7.132617414388834,30.321584797033207
-1733.8613963114506,91.55707051003876,1734.965960544243,-206.78220507511378,1.104564232792427,-115.22513456507502,2.4229311269904317,2.4378554176814697,2.4378554176814697,1.0343257577818488,6.812569299952194,1.034487602527995,7.132617414388834,30.321584797033207
-10031.64986168494,33.404107899978044,10055.638248531655,111.09061801481062,23.988386846715002,144.49472591478866,13.998993581408074,13.998440497532076,13.998993581408074,1.0343257577818488,6.812569299952194,1.0368975969669143,8.220658071671394,109.70998104551784
24153.10509420406,754.4967909233761,-24050.865152923736,624.8564483969926,102.23994128032427,1379.3532393203686,34.04493413163845,34.045242838013166,34.045242838013166,1.024499255134359,3.4703759233169107,1.02,0.0,245.9916390029853
24049.443401874665,-562.8083842269505,-23875.8163452175,1685.3745211475389,173.62705665716567,1122.5661369205884,33.89156738961717,33.87012199584787,33.89156738961717,1.024499255134359,3.4703759233169107,1.02,0.0,244.88126726602002
-4623.070007085363,-256.4807342755346,4633.538103155892,152.2216920913981,10.4680960705291,-104.25904218413649,6.523272580046899,6.505884216299447,6.523272580046899,1.024499255134359,3.4703759233169107,1.0285372450388812,5.635728246561758,91.10715893920249
-4620.586730014914,-86.11243425764746,4633.0987273569835,215.05224175895307,12.511997342069662,128.9398075013056,6.510888659156543,6.508759909660631,6.510888659156543,1.024499255134359,3.4703759233169107,1.0285372450388812,5.635728246561758,117.95088150645911
