,longitude,latitude
0,-0.28294928572205913,51.55882415927719
1,-0.688968624862678,51.071499398641684
2,0.6765853826376057,51.38007328733576
3,-0.5949449276781297,51.92313141444324
4,-2.54971586726603,50.99000315479996
5,-4.226169620465423,50.615653690673994
6,-2.1778946728231765,51.51450186943453
7,-3.854783568681288,51.93546734580979
8,0.4194937837321929,52.47911211918395
9,-0.47986211640398607,53.13414537863075
10,-2.0620479245065635,52.528337500797264
11,-3.61099862816803,52.95539208266966
12,-2.4476493419694396,53.52001278112059
13,-1.0351649998117225,53.77088338780334
14,-2.1647634091669476,54.79751789716309
15,-2.675976630477711,54.26973389742333
16,-3.730922155933984,55.570815749669286
17,-4.532069356538042,57.25284353829298
